Time [s],Latitude [deg],Longitude [deg],Altitude [m],Vel N [m/s],Vel E [m/s],Vel D [m/s],Roll [deg],Pitch [deg],Yaw [deg]
0,0,0.00449157641139672,0.0195981991784909,99.9999972087228,99.9990250062228,-0.00783920328190391,-0.00449157640885534,0.00317600870314544,44.999721483138
0.2,0.000187867348721829,0.00466275394312636,0.0211545262379784,107.494126607053,87.8768675470579,-0.0075039182954697,-0.00466653704640112,0.0030966154427029,39.2661324198842
0.4,0.000387284575350884,0.00479838648980376,0.0225117974511091,112.398117440173,60.8824444206936,-0.00585850405560961,-0.00481399019482942,0.00262593047509311,28.4429801782562
0.6,0.00059177350003429,0.0048748977867703,0.0234239672957557,112.871627626588,22.8879025913832,-0.00311315467935458,-0.00491068469951425,0.00154877510955459,11.4629058318729
0.8,0.000792423156485389,0.00487743838154817,0.02371603816511,108.125144170508,-20.4068787797281,0.000241770443338396,-0.00494139043303099,-0.000125892200431719,-10.6879355065697
1,0.000980039342446543,0.00480232064238387,0.0233305633072002,98.6504911056793,-62.458105022706,0.00354759961489037,-0.00490130191170038,-0.00174085484619015,-32.3389286250007
1.2,0.00114745749348346,0.00465753242746157,0.0223436936238123,86.1666585073581,-97.0009302156959,0.00615948336950112,-0.00479679751630767,-0.00272003748674726,-48.3850727741885
1.4,0.00129149945713506,0.00446125672859804,0.0209440004537884,73.2862282699542,-119.11318087688,0.0076226444692935,-0.00464443564680011,-0.00312289195458061,-58.397449079063
1.6,0.00141411870895871,0.00423867522745497,0.0193829790692217,62.9667525817049,-126.033782562361,0.0077697487319881,-0.00446834418037424,-0.00315977909093748,-63.4531864282352
1.8,0.00152243989333444,0.00401763189944777,0.0179170300794853,57.8581590538959,-117.59511869307,0.00670849292510667,-0.00429641583021223,-0.0029328126822188,-63.8022801938487
2,0.00162762569056647,0.00382392544563752,0.0167611689114206,59.681973852786,-96.1988130565923,0.0047249060602681,-0.00415590790217504,-0.00239131630910332,-58.1844364367792
2.2,0.00174275152811282,0.00367705286987354,0.0160653516116251,68.7755326523108,-66.3466016563031,0.00216597625278325,-0.00406914001486959,-0.0012986576227249,-43.9701723652929
2.4,0.00188008632344136,0.00358713294956564,0.0159109080317841,83.9044471587874,-33.817007620953,-0.000636024178888306,-0.00404996877207652,0.000402833414520579,-21.9514999052965
2.6,0.00204832012823357,0.00355351647570646,0.0163154408361932,102.394912746682,-4.64012788643949,-0.00337282766051317,-0.00410159657532575,0.0018853541426503,-2.59464046150145
2.8,0.00225031627143924,0.0035652818558433,0.0172346697512226,120.573900082041,15.9439976886468,-0.00572772127334531,-0.00421605952936909,0.00269827991533423,7.53276088073973
3,0.00248188596342354,0.00360347703682738,0.0185580825971778,134.442310286051,24.3588733354869,-0.00735563993512756,-0.00437547765501561,0.00308455953349689,10.2697014531308
