Time [s],AccX [m/s^2],AccY [m/s^2],AccZ [m/s^2],GyroX [rad/s],GyroY [rad/s],GyroZ [rad/s]
0,0.960037201,-0.35977792,-9.57048228,0.0031625104,0.00055692414,-0.032209597
0.02,0.872857291,-0.164283107,-9.64723813,0.00358921427,0.00076620363,-0.032416229
0.04,1.01734018,-0.688758947,-9.74171073,0.00316286772,0.000652780962,-0.0331056264
0.06,0.799758585,-0.532499476,-9.68248603,0.00320574103,0.000715952706,-0.033599926
0.08,1.1300955,-0.188876375,-9.70510811,0.00306227287,0.00075088738,-0.0345487558
0.1,0.966585105,-0.491898344,-9.63000494,0.00307283787,0.000800167464,-0.0340928791
0.12,0.838901924,-0.667057549,-9.70537817,0.00311105603,0.000805879119,-0.034466719
0.14,0.791832747,-0.286644681,-9.52349902,0.00382376531,0.00104987855,-0.0348543507
0.16,0.929619192,-0.440031131,-9.58994675,0.00353817476,0.00112278665,-0.0345534596
0.18,0.854859047,-0.648685989,-9.56780108,0.00318126625,0.000792760595,-0.0362906671
0.2,0.890679385,-0.21646532,-9.83663804,0.00351527562,0.00109692308,-0.0354572054
0.22,0.948340161,-0.953553476,-9.68404271,0.00394304822,0.00115652201,-0.0364541381
0.24,0.807678226,-0.411639976,-9.6098621,0.00328704506,0.00140773513,-0.0365257283
0.26,0.826186428,-0.36427551,-9.82115587,0.00355648403,0.00164508874,-0.0374324098
0.28,0.735753149,-0.481428033,-9.69667709,0.00346225456,0.000835365261,-0.038150416
0.3,0.631435408,-0.223833035,-9.59467546,0.00366458392,0.00125784887,-0.038196875
0.32,0.733784232,-0.367349978,-9.58848964,0.00371137176,0.00117008406,-0.0378620286
0.34,0.710575305,-0.340664128,-9.70870579,0.00394515528,0.00111819214,-0.0386745444
0.36,0.780753799,-0.00842637712,-9.69010898,0.00345657533,0.00160414648,-0.0386907234
0.38,0.770577888,-0.63015667,-9.69891985,0.00393435631,0.00142830107,-0.0394774526
0.4,0.831920357,-0.495930157,-9.6553076,0.00348247489,0.00091323439,-0.039148287
0.42,0.703715573,-0.170873158,-9.68705836,0.00381984386,0.00130442131,-0.0399021757
0.44,0.778991387,-0.573918302,-9.65296776,0.00390599292,0.00143384914,-0.0404635641
0.46,0.925737953,-0.382962896,-9.73759399,0.00366092563,0.0013528317,-0.0407973294
0.48,0.691779739,-0.663455838,-9.90783725,0.0037071685,0.00140170013,-0.0406920608
0.5,0.789140321,-0.795911909,-9.65486624,0.00346744107,0.00145228126,-0.0417344885
0.52,0.693818548,-0.130666447,-9.5158289,0.0038606383,0.00174211469,-0.0422388669
0.54,0.585228881,-0.639121612,-9.72968372,0.00407927713,0.00138494707,-0.0430340221
0.56,0.71224478,-0.604092407,-9.94124351,0.00401206914,0.00177379078,-0.0429957915
0.58,0.800274902,-0.809759429,-9.72522299,0.00376418686,0.001255433,-0.0433437248
0.6,0.862683564,-0.548117223,-9.72021386,0.0039566304,0.00161903378,-0.0436416271
0.62,0.662336488,-0.538921177,-9.6080056,0.00387430109,0.00165693546,-0.0435967695
0.64,0.613200173,-0.640707455,-9.79031918,0.00418542807,0.00141530453,-0.0440120059
0.66,0.759547864,-0.601992265,-9.86521793,0.00410992318,0.00124900876,-0.0448055077
0.68,0.639133145,-0.644617549,-9.80529306,0.004129663,0.00238552248,-0.0460029168
0.7,0.563436232,-0.904556812,-9.59481164,0.00392148828,0.00197529473,-0.0461148949
0.72,0.641377952,-0.241562121,-9.67849434,0.00394905811,0.00187476504,-0.0463874167
0.74,0.671560036,-0.693282083,-9.78271201,0.00434163939,0.0021719064,-0.046516503
0.76,0.737348964,-0.270397341,-9.56066419,0.00449929456,0.00166477999,-0.0465839571
0.78,0.698091677,-0.638388595,-9.69203593,0.00390986105,0.00171840218,-0.0471104445
0.8,0.452090337,-0.649063954,-9.76148477,0.0038879641,0.00175355121,-0.0468371353
0.82,0.701043951,-0.4916066,-9.73588352,0.00434784459,0.00151947775,-0.0486695356
0.84,0.399720572,-0.74814341,-9.71162491,0.00410281118,0.00189072479,-0.048737043
0.86,0.686322457,-0.557105581,-9.65495497,0.00444832816,0.001831543,-0.049530356
0.88,0.575608286,-0.746794565,-9.75952987,0.00435264605,0.00162905571,-0.0489512964
0.9,0.606240291,-0.699529509,-9.7366947,0.00431201129,0.00201419799,-0.0495412087
0.92,0.419831475,-0.88320953,-9.68564195,0.00460522685,0.00155194961,-0.0499914358
0.94,0.758386468,-0.647032427,-9.58464934,0.00421595228,0.00187647909,-0.0508269416
0.96,0.621134261,-0.825977329,-9.74594981,0.00476741781,0.00187404297,-0.0516880519
0.98,0.727649975,-0.38398447,-9.70769624,0.00460345773,0.00211260065,-0.0508945284
1,0.483239059,-0.490272625,-9.84194066,0.00469829613,0.00222655326,-0.0524222614
1.02,0.668075289,-0.676474365,-9.81588976,0.00459399198,0.00191681421,-0.0520506585
1.04,0.624109557,-0.865957125,-9.61769809,0.00446068362,0.00205155181,-0.0523410114
1.06,0.556436819,-0.765375629,-9.63395876,0.00446979863,0.00213678728,-0.0526518865
