Time [s],Pos ECEF X [m],Pos ECEF Y [m],Pos ECEF Z [m],Vel ECEF X [m/s],Vel ECEF Y [m/s],Vel ECEF Z [m/s],Roll [deg],Pitch [deg],Yaw [deg]
0,6378137,500,0,0.999999992888082,10.0000000017341,10.0000000213644,-0.00449157640885466,4.04786721996992,44.9997752760371
1,6378138,509.831483245956,10.1979894331044,0.999999992888084,9.59474591236413,10.3926299121012,-0.0045808219135478,4.04720164116402,42.713767207244
2,6378139,519.055395789016,20.7732961047664,0.999999992888084,8.7877765034616,10.7494340726095,-0.00466653556246667,4.12262607488512,39.2661117086254
3,6378140,527.281591058266,31.6749144863838,0.99999999288808,7.60500626667297,11.0405361197266,-0.00474530303654401,4.26880990703542,34.5597947651358
4,6378141,534.153941923071,42.8237116081442,0.99999999288808,6.08831012799956,11.2398498693114,-0.00481398724215818,4.47574728224238,28.442841956712
5,6378142,539.365439381236,54.1170544945413,0.999999992888077,4.29368935371174,11.3267110354698,-0.00486985385609618,4.72149307404802,20.7601781738953
6,6378143,542.671140602013,65.4349264574939,0.99999999288808,2.28882054696778,11.2872092735865,-0.00491068009795142,4.964018237912,11.4626028567019
7,6378144,543.898402411219,76.6471935545138,0.999999992888089,0.150097965190466,11.1151454886423,-0.00493484291778595,5.14120079902346,0.773231581125869
8,6378145,542.953958321046,87.6216169978986,0.999999992888089,-2.04069798972831,10.8125590067214,-0.00494138423738681,5.19268388167121,-10.6883930763966
9,6378146,539.827538862869,98.2321630098057,0.999999992888077,-4.19995673573859,10.389791832367,-0.00493004870393841,5.09819193955258,-22.0108993083843
10,6378147,534.591889788065,108.367140961587,0.999999992888075,-6.2458588741653,9.86508165723579,-0.00490129425254304,4.89342561673485,-32.3394360325118
11,6378148,527.399203579328,117.936704813824,0.999999992888075,-8.1019014824352,9.26370029925191,-0.00485627350736259,4.64310331904289,-41.1728306347411
12,6378149,518.474139320198,126.879281817159,0.999999992888077,-9.70017081183349,8.61667855619276,-0.00479678855057847,4.40455974978655,-48.385563344342
13,6378150,508.103757039399,135.166544804529,0.999999992888075,-10.9842179237079,7.95918080442083,-0.00472521848034796,4.21327662969924,-54.0731270678695
14,6378151,496.624828329235,142.806617656938,0.999999992888073,-11.9114113898344,7.3286119072006,-0.00464442536678939,4.08675641271381,-58.3979331527266
15,6378152,484.409099215067,149.845294027965,0.999999992888072,-12.4546654307473,6.76255411466596,-0.00455763997025052,4.03296605905802,-61.4994397665024
16,6378153,471.847168819136,156.365152631713,0.999999992888085,-12.6034706321576,6.29664183867697,-0.004468332924264,4.05678317391261,-63.4537000133553
